order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,105,1,309.80,0.00
2,1,148,1,454.74,0.00
3,2,136,1,306.75,0.00
4,2,216,4,231.48,92.59
5,2,71,1,194.57,0.00
6,2,167,1,327.78,0.00
7,3,74,2,113.63,0.00
8,3,166,3,333.97,0.00
9,3,80,1,96.26,4.81
10,3,93,1,159.98,0.00
11,4,17,2,437.30,0.00
12,5,253,1,125.01,6.25
13,6,37,1,48.58,0.00
14,6,70,1,379.04,0.00
15,6,18,3,392.78,0.00
16,6,79,2,406.78,81.35
17,6,190,1,347.76,34.77
18,7,224,2,312.20,0.00
19,7,220,1,414.47,20.72
20,7,248,1,58.86,2.94
21,7,77,1,371.10,0.00
22,7,245,2,110.28,11.02
23,8,236,1,116.16,0.00
24,8,18,1,394.03,0.00
25,8,155,1,262.53,26.25
26,9,198,1,359.63,0.00
27,10,186,2,161.70,0.00
28,10,88,1,299.95,0.00
29,10,8,3,142.61,0.00
30,10,118,1,116.83,0.00
31,11,235,1,276.92,27.69
32,11,233,2,385.07,0.00
33,12,190,1,354.12,0.00
34,12,199,1,377.66,37.76
35,13,171,1,376.79,0.00
36,13,61,1,244.23,36.63
37,13,115,1,324.90,0.00
38,14,32,2,41.01,0.00
39,14,220,1,401.65,60.24
40,15,251,2,56.96,0.00
41,15,250,1,334.40,16.72
42,16,167,2,332.66,0.00
43,17,84,1,238.01,0.00
44,17,171,2,370.06,111.01
45,18,190,1,331.31,0.00
46,18,108,2,219.06,0.00
47,18,84,3,254.12,0.00
48,18,189,2,17.67,0.00
49,18,21,1,372.57,0.00
50,19,149,1,37.50,0.00
51,19,26,1,95.92,4.79
52,19,212,1,198.16,0.00
53,20,123,3,255.71,0.00
54,20,197,1,396.73,0.00
55,21,154,1,253.79,0.00
56,22,145,1,11.14,0.00
57,22,208,1,137.82,0.00
58,23,87,3,426.88,64.03
59,23,231,3,264.02,0.00
60,23,197,3,366.95,0.00
61,23,24,2,165.92,16.59
62,24,49,1,138.49,0.00
63,24,30,1,225.49,22.54
64,24,41,1,186.10,0.00
65,25,19,1,169.78,8.48
66,25,61,1,227.77,0.00
67,26,116,1,364.97,18.24
68,26,248,1,59.29,8.89
69,26,120,1,85.73,0.00
70,26,46,1,385.17,0.00
71,27,47,2,96.12,0.00
72,27,132,1,422.73,21.13
73,28,90,1,44.95,2.24
74,29,66,3,43.38,19.52
75,29,80,1,91.56,13.73
76,30,145,1,11.26,0.00
77,30,243,2,265.51,0.00
78,31,236,4,114.96,0.00
